Game ID,Rental Date,Return Date,Customer ID
     39,2023-04-20,2023-04-29,1002
     57,2022-02-26,2022-03-02,1000
     29,2023-08-28,2023-08-30,1001
     79,2023-10-06,2023-10-12,1003
     64,2022-10-24,2022-10-28,1000
     63,2022-04-19,2022-04-25,1000
     75,2023-09-01,2023-09-11,1003
     91,2023-07-25,2023-08-03,1000
     10,2022-03-17,2022-03-23,1003
     67,2023-10-11,2023-10-12,1003
      7,2022-09-07,2022-09-16,1004
     94,2023-03-06,2023-03-12,1004
     16,2022-03-05,2022-03-15,1003
     62,2023-06-24,2023-07-01,1001
     23,2022-04-13,2022-04-17,1000
      7,2022-12-02,2022-12-11,1004
     11,2023-03-08,2023-03-15,1003
     62,2023-05-04,2023-05-11,1001
     40,2023-08-17,2023-08-24,1000
     26,2023-04-10,2023-04-18,1004
     18,2023-01-14,2023-01-17,1003
     77,2023-07-23,2023-08-02,1001
     92,2022-03-30,2022-04-07,1004
     82,2023-05-24,2023-06-01,1002
     75,2023-06-27,2023-07-05,1000
     64,2022-11-13,2022-11-20,1001
     31,2022-06-26,2022-06-28,1002
     42,2022-07-21,2022-07-23,1001
     51,2023-09-25,2023-10-05,1002
     19,2022-01-02,2022-01-08,1003
     66,2022-03-21,2022-03-23,1000
     23,2023-03-10,2023-03-16,1002
     13,2023-09-16,2023-09-19,1003
      9,2023-05-24,2023-06-02,1003
     48,2023-03-28,2023-04-05,1001
     51,2022-08-04,2022-08-05,1003
      6,2022-08-24,2022-08-25,1001
     42,2023-08-25,2023-09-01,1004
     74,2023-05-15,2023-05-19,1004
     12,2022-10-20,2022-10-29,1000
     39,2022-02-21,2022-02-23,1000
     74,2022-03-28,2022-03-29,1000
     18,2022-08-10,2022-08-16,1000
     77,2022-12-20,2022-12-21,1003
     56,2022-12-19,2022-12-28,1000
     13,2022-07-07,2022-07-08,1004
     72,2022-04-09,2022-04-17,1000
     28,2022-04-19,2022-04-25,1003
     94,2022-12-16,2022-12-17,1000
     79,2022-04-12,2022-04-20,1001
      6,2023-06-24,2023-06-27,1001
     83,2022-02-28,2022-03-01,1002
      7,2023-07-09,2023-07-19,1002
     93,2022-04-02,2022-04-12,1000
     32,2022-09-13,2022-09-18,1002
     83,2022-08-06,2022-08-15,1003
     50,2023-05-05,2023-05-12,1004
      3,2022-09-13,2022-09-17,1001
     45,2023-05-06,2023-05-14,1000
     43,2023-09-03,2023-09-11,1004
     70,2022-09-28,2022-10-01,1000
     94,2023-04-12,2023-04-20,1002
     90,2022-04-18,2022-04-24,1000
